subjid,country,normal_vision,hispanic,race,color_blind,gender,education_level,fluent_english,household_income,dob
d2YvnIb1SzT5XLred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1990-02-28
GaoxGQc1Xmby2bred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$300,000–$399,999",1991-07-22
TivIAtz1sWuRopred,United States,Yes,No,Caucasian/White,No,Male,,Yes,"$40,000–$59,999",1953-03-08
Z7SpYO22HIBbPMpurple,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1992-08-26
RophlMz2pnT4Tjpurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$60,000–$79,999",1960-11-09
orGrN0W4PmMnXYred,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",2001-04-04
AGOdVu74gfVMP7red,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"Less than $20,000",1991-05-17
eoMZxUK4khXpzfpurple,United States,Yes,No,Mixed Race,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1999-10-22
XckY2QM5ENLITAred,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",2002-02-26
eySzqtn656jetdpurple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1990-03-25
m3SlY7K65mcVAIpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1995-06-19
N8ksNmv6G4q0ompurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",1954-10-11
Sk5lsLH6JKqClzred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1959-01-11
kyAtOR47CAXO01red,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1980-06-19
jbpUv1U7IFVn3Vpurple,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1980-05-08
wICtidB7fjEuEupurple,United States,Yes,No,Caucasian/White,No,Female,Secondary Education (ie. GED/GCSE),Yes,"$20,000–$39,999",1993-03-04
GIpt06E7scyQAspurple,United States,Yes,Yes,Mixed Race,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1991-05-21
mYSqMHv81XrAojred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$60,000–$79,999",1984-01-18
R2Slnye8Cyp1Qcred,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1959-12-02
ZXML2nj8JylBELred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$40,000–$59,999",1992-08-20
HJiQI8l8ixj7ZQred,,Yes,No,Caucasian/White,No,Male,,Yes,,1994-01-25
9L0u3N594S7Tk5purple,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1992-04-13
LzSp6319Cfrr4opurple,United States,Yes,No,Mixed Race,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",2004-02-04
9L0u3N594S7Tk5red,United States,Yes,Yes,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1990-01-02
g6Upbjw9ndtUvWpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$60,000–$79,999",1968-10-22
a4t2VPZA11vQidpurple,United States,Yes,No,Black/African American,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1982-10-01
AGOdVu74gfVMP7purple,United States,Yes,No,Caucasian/White,Yes,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1964-03-07
L2xJ1iWAIp1Lc5purple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1990-08-21
OmgEQJhArEcn1gred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1973-06-25
nCNU1gIAwXwaNjpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1996-12-13
LLlh0LYAxsUnaered,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1996-04-29
Guo72GsAyCT2Ppred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1983-06-15
XPEC7FMBuuCPirpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$60,000–$79,999",1955-01-14
pqzVgpvBxeWX95purple,United States,Yes,No,Black/African American,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1961-09-09
DJyWGrmCI4hedopurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"Less than $20,000",1979-12-09
DJyWGrmCI4hedored,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1963-12-03
yoZ6vpODYaJIyopurple,United States,Yes,Yes,Caucasian/White,No,Male,Technical/Community College,Yes,"$80,000–$99,999",2001-03-19
cea8hSnEkGlya1purple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1985-01-09
YBWIqz1EycDN60purple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1974-02-02
b1R4Q8GF2ktTCZred,,Yes,No,Caucasian/White,No,Male,,Yes,,1997-03-14
GIpt06E7scyQAsred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1985-01-29
GaoxGQc1Xmby2bpurple,United States,Yes,No,Black/African American,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1986-04-05
Guo72GsAyCT2Pppurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$40,000–$59,999",1973-08-26
clx9egCH9BD66tpurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$100,000–$199,999",1963-10-27
HJiQI8l8ixj7ZQpurple,United States,Yes,No,Asian,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$60,000–$79,999",1988-03-08
mq25Ud0HilaEHMred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",
ZCt3dSGHyf9oWxred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1988-04-17
nBkV82AICknxGhred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1989-10-29
ODyDBwJIrDmnmared,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"Less than $20,000",1964-09-18
YTLpZxpJ8wFKYnpurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"Less than $20,000",1986-05-18
RV6SiTvJDsGKG9red,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1995-08-18
JTrMDviJOqSWLmred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1970-05-05
JTrMDviJOqSWLmpurple,United States,Yes,No,Asian,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$200,000–$299,999",1982-02-02
woxKliqKtIfd83red,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1970-04-21
L2xJ1iWAIp1Lc5red,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1985-08-05
LLlh0LYAxsUnaepurple,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,I prefer not to answer,
MnUx0OULOzy46vpurple,United States,No,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1954-06-06
mY2ThHGLZfMrwCred,United States,Yes,No,Caucasian/White,No,Male,Doctorate Degree (PhD/Other),Yes,"$80,000–$99,999",1996-02-22
LzSp6319Cfrr4ored,United States,Yes,No,Mixed Race,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1985-03-10
lsFCn1XMbjkQlMpurple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1965-02-21
SMBqTPtMeJmnqRred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"Less than $20,000",1991-05-17
lYmChdJMknpHlwred,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1997-12-17
MnUx0OULOzy46vred,United States,Yes,No,Caucasian/White,No,Other,High School Diploma (A-levels),Yes,"$40,000–$59,999",1992-05-21
N8ksNmv6G4q0omred,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$80,000–$99,999",1964-10-20
ofrwBLQNLeNuCOred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$40,000–$59,999",1990-09-15
l8bDK3aO8wGxbQred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",2001-12-08
ODyDBwJIrDmnmapurple,United States,Yes,No,Caucasian/White,No,Female,Doctorate Degree (PhD/Other),Yes,"$80,000–$99,999",1957-12-01
bSxiPUDOjnyQuFpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,No,"$20,000–$39,999",1975-12-18
OmgEQJhArEcn1gpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$60,000–$79,999",1986-10-03
mJ9fjlcP23idAZred,United States,Yes,No,Black/African American,No,Female,Technical/Community College,Yes,"$20,000–$39,999",1984-11-27
gsABAaOP8uOiCMred,United States,Yes,No,Asian,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1983-02-12
WS4jHMiQ5Wvznvpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$300,000–$399,999",1963-01-05
nmHvJd8QHSgYaNred,United States,Yes,No,Black/African American,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1990-11-29
nSG6vfzQRyWkT5red,United States,Yes,Yes,Mixed Race,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1968-06-14
tifOihlQXXepB0purple,United States,Yes,No,Caucasian/White,No,Other,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1989-08-29
smzTCpjQjzO75wpurple,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1976-08-15
R2Slnye8Cyp1Qcpurple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1979-07-22
RV6SiTvJDsGKG9purple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"Less than $20,000",1964-03-10
RophlMz2pnT4Tjred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1982-01-21
SMBqTPtMeJmnqRpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1991-01-22
Sk5lsLH6JKqClzpurple,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1967-07-14
ryO9MvOSq3ZQUtred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1999-02-24
fTeRNTUSx26CsCpurple,United States,Yes,No,Caucasian/White,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1980-11-07
TivIAtz1sWuRoppurple,United States,Yes,Yes,Caucasian/White,No,Female,Technical/Community College,Yes,"Less than $20,000",1974-11-24
oGOi0GITrDQ7sppurple,United States,Yes,No,Asian,No,Female,Undergraduate Degree (BA/BS/Other),Yes,I prefer not to answer,1990-11-07
vxEsTrKUTqQqosred,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$40,000–$59,999",1986-02-08
pE0Aw88UbECQ9zred,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",2002-10-21
pAXCOtBVeqYqaCred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1996-05-05
rkc6hRyVkFgFu2red,United States,Yes,No,Black/African American,No,Male,Technical/Community College,Yes,"$40,000–$59,999",1997-04-26
